PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
23315|17040250|31220|412006|1111 ARLINGTON BLVD 646|||2954|2237|ARLAND LLC                          |33500|1998-12-30 00:00:00||False
23315|17040250|31220|412006|1111 ARLINGTON BLVD 646|O|O-Assignment of Lease|||ARLAND LLC|128000|2023-06-23 00:00:00|20230100007275                  |False
66634|17040251|31221|412006|1111 ARLINGTON BLVD 647|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
66634|17040251|31221|412006|1111 ARLINGTON BLVD 647|1|1-Foreclosure, Auction, Bankru|2804|1468|ARLAND LLC                          |23050|1996-10-28 00:00:00||False
66634|17040251|31221|412006|1111 ARLINGTON BLVD 647|1|1-Foreclosure, Auction, Bankru|4760|1050|ARLAND LLC                          |80000|2014-03-26 00:00:00||False
66634|17040251|31221|412006|1111 ARLINGTON BLVD 647|||    |    |ARLAND LLC                          |130000|2015-04-24 00:00:00|20150100008424                  |False
23316|17040252|31222|412006|1111 ARLINGTON BLVD 648|5|5-Not Market Sale|1624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
23316|17040252|31222|412006|1111 ARLINGTON BLVD 648|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23316|17040252|31222|412006|1111 ARLINGTON BLVD 648|||4428|1968|ARLAND LLC|115500|2010-12-30 00:00:00||False
23316|17040252|31222|412006|1111 ARLINGTON BLVD 648|O|O-Assignment of Lease|    |    |ARLAND LLC|120000|2022-11-11 00:00:00|20220100019152                  |False
23317|17040253|31223|412006|1111 ARLINGTON BLVD 701|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23317|17040253|31223|412006|1111 ARLINGTON BLVD 701|1|1-Foreclosure, Auction, Bankru|2790|1399|ARLAND LLC                          |26000|1996-08-14 00:00:00||False
23317|17040253|31223|412006|1111 ARLINGTON BLVD 701|7|7-Partial Interest|3808|2443|ARLAND LLC                          |99500|2004-12-22 00:00:00||False
23317|17040253|31223|412006|1111 ARLINGTON BLVD 701|||3867|0716|ARLAND LLC                          |145000|2005-06-24 00:00:00||False
23317|17040253|31223|412006|1111 ARLINGTON BLVD 701|O|O-Assignment of Lease|4693|2652|ARLAND LLC                          |155000|2013-05-14 00:00:00||False
23317|17040253|31223|412006|1111 ARLINGTON BLVD 701|5|5-Not Market Sale|4805|1992|ARLAND LLC                          |0|2014-11-20 00:00:00||False
